ID,ISOCODE,STARTDATE,NEXTSTARTDATE,CONVERSIONRATE,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP
04w0X000000kChFQAU,MYR,2018-04-01,2018-05-01,5.428,1522918674000,005b0000000L061AAC,1522918674000,005b0000000L061AAC,1525168937000
04w0X000000kChNQAU,EUR,2018-05-01,2018-06-01,1.1402,1525168937000,005b0000000L061AAC,1525168937000,005b0000000L061AAC,1527844671000
04w0X000000kChRQAU,USD,2018-05-01,2018-06-01,1.3776,1525168937000,005b0000000L061AAC,1525168937000,005b0000000L061AAC,1527844672000
04w7Z0000008oYOQAY,AUD,2021-09-02,2021-09-07,1.8693,1630593681000,0050X000008uaG0QAI,1630593681000,0050X000008uaG0QAI,1631007995000
04w7Z0000008oYQQAY,EUR,2021-09-02,2021-09-07,1.168,1630593682000,0050X000008uaG0QAI,1630593682000,0050X000008uaG0QAI,1631007995000
04w7Z0000008oYXQAY,AED,2021-09-07,9999-12-31,1.2,1631007995000,0050X000008uaG0QAI,1631007995000,0050X000008uaG0QAI,1631007995000
04w7Z0000008oYbQAI,HKD,2021-09-07,9999-12-31,1.2,1631007996000,0050X000008uaG0QAI,1631007996000,0050X000008uaG0QAI,1631007996000
04w7Z0000008oYcQAI,MYR,2021-09-07,9999-12-31,1.2,1631007996000,0050X000008uaG0QAI,1631007996000,0050X000008uaG0QAI,1631007996000
04w0X000000DV18QAG,CHF,2018-11-01,2018-12-01,1.2853,1541070116000,005b0000000L061AAC,1541070116000,005b0000000L061AAC,1543833636000
04w0X000000kCgtQAE,EUR,2018-02-01,2018-03-01,1.1416,1517485559000,005b0000000L061AAC,1517485559000,005b0000000L061AAC,1519903462000
04w0X000000kCguQAE,HKD,2018-02-01,2018-03-01,11.123,1517485559000,005b0000000L061AAC,1517485559000,005b0000000L061AAC,1519903462000
04w0X000000kCh4QAE,HKD,2018-03-01,2018-04-01,10.7833,1519903462000,005b0000000L061AAC,1519903462000,005b0000000L061AAC,1522918674000
